id,class_url,description
1,http://help.eclipse.org/kepler/topic/org.eclipse.platform.doc.isv/reference/api/org/eclipse/swt/graphics/Point.html,extends Object implements org.eclipse.swt.internal.SerializableCompatibility Instances of this class represent places on the (x_ y)  coordinate plane.    The coordinate space for rectangles and points is considered  to have increasing values downward and to the right from its  origin making this the normal_ computer graphics oriented notion  of (x_ y) coordinates rather than the strict mathematical one.      The hashCode() method in this class uses the values of the public  fields to compute the hash value. When storing instances of the  class in hashed collections_ do not modify these fields after the  object has been inserted.       Application code does not need to explicitly release the  resources managed by each instance when those instances are no longer  required_ and thus no dispose() method is provided.    See Also:  Rectangle_  Sample code and further information_  Serialized Form    
2,http://help.eclipse.org/kepler/topic/org.eclipse.platform.doc.isv/reference/api/org/eclipse/swt/graphics/RGB.html,extends Object implements org.eclipse.swt.internal.SerializableCompatibility Instances of this class are descriptions of colors in  terms of the primary additive color model (red_ green and  blue). A color may be described in terms of the relative  intensities of these three primary colors. The brightness  of each color is specified by a value in the range 0 to 255_  where 0 indicates no color (blackness) and 255 indicates  maximum intensity.    The hashCode() method in this class uses the values of the public  fields to compute the hash value. When storing instances of the  class in hashed collections_ do not modify these fields after the  object has been inserted.       Application code does not need to explicitly release the  resources managed by each instance when those instances are no longer  required_ and thus no dispose() method is provided.    See Also:  Color_  Color and RGB snippets_  Sample code and further information_  Serialized Form    
3,http://help.eclipse.org/kepler/topic/org.eclipse.platform.doc.isv/reference/api/org/eclipse/swt/accessibility/Accessible.html,extends Object Instances of this class provide a bridge between application  code and assistive technology clients. Many platforms provide  default accessible behavior for most widgets_ and this class  allows that default behavior to be overridden. Applications  can get the default Accessible object for a control by sending  it getAccessible_ and then add an accessible listener  to override simple items like the name and help string_ or they  can add an accessible control listener to override complex items.  As a rule of thumb_ an application would only want to use the  accessible control listener to implement accessibility for a  custom control.  Since:  2.0  See Also:  Control.getAccessible()_  AccessibleListener_  AccessibleEvent_  AccessibleControlListener_  AccessibleControlEvent_  Accessibility snippets_  Sample code and further information    
4,http://help.eclipse.org/kepler/topic/org.eclipse.platform.doc.isv/reference/api/org/eclipse/swt/widgets/Event.html,extends Object Instances of this class provide a description of a particular  event which occurred within SWT. The SWT untyped listener  API uses these instances for all event dispatching.    Note: For a given event_ only the fields which are appropriate  will be filled in. The contents of the fields which are not used  by the event are unspecified.    See Also:  Listener_  TypedEvent_  SWT Example: ControlExample_ Listeners_  Sample code and further information    
5,http://help.eclipse.org/kepler/topic/org.eclipse.platform.doc.isv/reference/api/org/eclipse/swt/graphics/ImageLoader.html,extends Object Instances of this class are used to load images from_  and save images to_ a file or stream.    Currently supported image formats are:    BMP (Windows or OS/2 Bitmap)  ICO (Windows Icon)  JPEG  GIF  PNG  TIFF  ImageLoaders can be used to:  load/save single images in all formats  load/save multiple images (GIF/ICO/TIFF)  load/save animated GIF images  load interlaced GIF/PNG images  load progressive JPEG images  See Also:  SWT Example: ImageAnalyzer_  Sample code and further information    
6,http://help.eclipse.org/kepler/topic/org.eclipse.platform.doc.isv/reference/api/org/eclipse/swt/graphics/Drawable.html,Implementers of Drawable can have a graphics context (GC)  created for them_ and then they can be drawn on by sending messages to  their associated GC. SWT images_ and device objects such as the Display  device and the Printer device_ are drawables.    IMPORTANT: This interface is not part of the SWT  public API. It is marked public only so that it can be shared  within the packages provided by SWT. It should never be  referenced from application code.    See Also:  Device_  Image_  GC    
7,http://help.eclipse.org/kepler/topic/org.eclipse.platform.doc.isv/reference/api/org/eclipse/swt/widgets/Control.html,"Implementers of Drawable can have a graphics context (GC)  created for them_ and then they can be drawn on by sending messages to  their associated GC. SWT images_ and device objects such as the Display  device and the Printer device_ are drawables.    IMPORTANT: This interface is not part of the SWT  public API. It is marked public only so that it can be shared  within the packages provided by SWT. It should never be  referenced from application code.    See Also:  Device_  Image_  GC     extends Widget implements Drawable Control is the abstract superclass of all windowed user interface classes.      Styles:    BORDER  LEFT_TO_RIGHT_ RIGHT_TO_LEFT_ FLIP_TEXT_DIRECTION  Events:    DragDetect_ FocusIn_ FocusOut_ Help_ KeyDown_ KeyUp_ MenuDetect_ MouseDoubleClick_ MouseDown_ MouseEnter_  MouseExit_ MouseHover_ MouseUp_ MouseMove_ MouseWheel_ MouseHorizontalWheel_ MouseVerticalWheel_ Move_  Paint_ Resize_ Traverse    Only one of LEFT_TO_RIGHT or RIGHT_TO_LEFT may be specified.    IMPORTANT: This class is intended to be subclassed only  within the SWT implementation.    See Also:  Control snippets_  SWT Example: ControlExample_  Sample code and further information  Restriction:  This class is not intended to be subclassed by clients.    "
8,http://help.eclipse.org/kepler/topic/org.eclipse.platform.doc.isv/reference/api/org/eclipse/swt/graphics/GC.html,extends Resource Class GC is where all of the drawing capabilities that are   supported by SWT are located. Instances are used to draw on either an   Image_ a Control_ or directly on a Display.  Styles:  LEFT_TO_RIGHT_ RIGHT_TO_LEFT      The SWT drawing coordinate system is the two-dimensional space with the origin  (0_0) at the top left corner of the drawing area and with (x_y) values increasing  to the right and downward respectively.        The result of drawing on an image that was created with an indexed  palette using a color that is not in the palette is platform specific.  Some platforms will match to the nearest color while other will draw  the color itself. This happens because the allocated image might use  a direct palette on platforms that do not support indexed palette.        Application code must explicitly invoke the GC.dispose()   method to release the operating system resources managed by each instance  when those instances are no longer required. This is particularly  important on Windows95 and Windows98 where the operating system has a limited  number of device contexts available.        Note: Only one of LEFT_TO_RIGHT and RIGHT_TO_LEFT may be specified.    See Also:  PaintEvent_  GC snippets_  SWT Examples: GraphicsExample_ PaintExample_  Sample code and further information    
9,http://help.eclipse.org/kepler/topic/org.eclipse.platform.doc.isv/reference/api/org/eclipse/swt/events/SelectionListener.html,extends org.eclipse.swt.internal.SWTEventListener Classes which implement this interface provide methods  that deal with the events that are generated when selection  occurs in a control.    After creating an instance of a class that implements  this interface it can be added to a control using the  addSelectionListener method and removed using  the removeSelectionListener method. When  selection occurs in a control the appropriate method  will be invoked.    See Also:  SelectionAdapter_  SelectionEvent    
10,http://help.eclipse.org/kepler/topic/org.eclipse.platform.doc.isv/reference/api/org/eclipse/swt/graphics/Rectangle.html,extends Object implements org.eclipse.swt.internal.SerializableCompatibility Instances of this class represent rectangular areas in an  (x_ y) coordinate system. The top left corner of the rectangle  is specified by its x and y values_ and the extent of the  rectangle is specified by its width and height.    The coordinate space for rectangles and points is considered  to have increasing values downward and to the right from its  origin making this the normal_ computer graphics oriented notion  of (x_ y) coordinates rather than the strict mathematical one.      The hashCode() method in this class uses the values of the public  fields to compute the hash value. When storing instances of the  class in hashed collections_ do not modify these fields after the  object has been inserted.       Application code does not need to explicitly release the  resources managed by each instance when those instances are no longer  required_ and thus no dispose() method is provided.    See Also:  Point_  Sample code and further information_  Serialized Form    
