id,class_url,description
1,http://help.eclipse.org/kepler/topic/org.eclipse.platform.doc.isv/reference/api/org/eclipse/core/runtime/ListenerList.html,extends Object This class is a thread safe list that is designed for storing lists of listeners.  The implementation is optimized for minimal memory footprint_ frequent reads   and infrequent writes. Modification of the list is synchronized and relatively  expensive_ while accessing the listeners is very fast. Readers are given access   to the underlying array data structure for reading_ with the trust that they will   not modify the underlying array.    A listener list handles the same listener being added   multiple times_ and tolerates removal of listeners that are the same as other  listeners in the list. For this purpose_ listeners can be compared with each other   using either equality or identity_ as specified in the list constructor.      Use the getListeners method when notifying listeners. The recommended  code sequence for notifying all registered listeners of say_  FooListener.eventHappened_ is:      Object[] listeners = myListenerList.getListeners();  for (int i = 0; i < listeners.length; ++i) {  ((FooListener) listeners[i]).eventHappened(event);  }        This class can be used without OSGi running.    Since:  org.eclipse.equinox.common 3.2    
2,http://help.eclipse.org/kepler/topic/org.eclipse.platform.doc.isv/reference/api/org/eclipse/core/runtime/IStatus.html,A status object represents the outcome of an operation.  All CoreExceptions carry a status object to indicate   what went wrong. Status objects are also returned by methods needing   to provide details of failures (e.g._ validation methods).    A status carries the following information:    plug-in identifier (required)  severity (required)  status code (required)  message (required) - localized to current locale  exception (optional) - for problems stemming from a failure at  a lower level  Some status objects_ known as multi-statuses_ have other status objects   as children.      The class Status is the standard public implementation  of status objects; the subclass MultiStatus is the  implements multi-status objects.    This interface can be used without OSGi running.    See Also:  MultiStatus_  Status    
3,http://help.eclipse.org/kepler/topic/org.eclipse.platform.doc.isv/reference/api/org/eclipse/core/runtime/IProgressMonitor.html,The IProgressMonitor interface is implemented  by objects that monitor the progress of an activity; the methods  in this interface are invoked by code that performs the activity.    All activity is broken down into a linear sequence of tasks against  which progress is reported. When a task begins_ a beginTask(String_ int)  notification is reported_ followed by any number and mixture of   progress reports (worked()) and subtask notifications   (subTask(String)). When the task is eventually completed_ a   done() notification is reported. After the done()  notification_ the progress monitor cannot be reused; i.e._   beginTask(String_ int) cannot be called again after the call to   done().      A request to cancel an operation can be signaled using the   setCanceled method. Operations taking a progress  monitor are expected to poll the monitor (using isCanceled)  periodically and abort at their earliest convenience. Operation can however   choose to ignore cancelation requests.      Since notification is synchronous with the activity itself_ the listener should   provide a fast and robust implementation. If the handling of notifications would   involve blocking operations_ or operations which might throw uncaught exceptions_   the notifications should be queued_ and the actual processing deferred (or perhaps  delegated to a separate thread).    This interface can be used without OSGi running.    Clients may implement this interface.      
4,http://help.eclipse.org/kepler/topic/org.eclipse.platform.doc.isv/reference/api/org/eclipse/core/runtime/IAdaptable.html,"An interface for an adaptable object.    Adaptable objects can be dynamically extended to provide different   interfaces (or ""adapters""). Adapters are created by adapter   factories_ which are in turn managed by type by adapter managers.    For example_    IAdaptable a = [some adaptable];  IFoo x = (IFoo)a.getAdapter(IFoo.class);  if (x != null)  [do IFoo things with x]      This interface can be used without OSGi running.    Clients may implement this interface_ or obtain a default implementation  of this interface by subclassing PlatformObject.    See Also:  IAdapterFactory_  IAdapterManager_  PlatformObject    "
5,http://help.eclipse.org/kepler/topic/org.eclipse.platform.doc.isv/reference/api/org/eclipse/core/commands/operations/IUndoContext.html," An undo context is used to ""tag"" operations as being applicable to a certain  context. The undo context is used to filter the history of operations  available for undo or redo so that only operations appropriate for a given  undo context are shown when the application is presenting that context.      The scope of an undo context is defined by the application that is making  undo and redo of operations available. Undo contexts may be related to  application models_ or may be associated with UI objects that are providing  undo and redo support.      An undo context may be defined as ""matching"" another context. This allows  applications to provide specialized implementations of an undo context that  will appear in the operation history for their matching context.  Since:  3.1    "
6,http://help.eclipse.org/kepler/topic/org.eclipse.platform.doc.isv/reference/api/org/eclipse/core/databinding/observable/IObservable.html,An object with state that allows to listen for state changes.      Implementations must not manage listeners themselves_ listener management  must be delegated to a private instance of type ChangeSupport if it  is not inherited from AbstractObservable.    Since:  1.0  Restriction:  This interface is not intended to be implemented by clients.  Clients should instead subclass one of the classes in the  framework that implement this interface. Note that direct  implementers of this interface outside of the framework will be  broken in future releases when methods are added to this  interface.    
7,http://help.eclipse.org/kepler/topic/org.eclipse.platform.doc.isv/reference/api/org/eclipse/core/databinding/observable/IObservableCollection.html,"An object with state that allows to listen for state changes.      Implementations must not manage listeners themselves_ listener management  must be delegated to a private instance of type ChangeSupport if it  is not inherited from AbstractObservable.    Since:  1.0  Restriction:  This interface is not intended to be implemented by clients.  Clients should instead subclass one of the classes in the  framework that implement this interface. Note that direct  implementers of this interface outside of the framework will be  broken in future releases when methods are added to this  interface.    
extends IObservable_ Collection Interface for observable collections. Only general change listeners can be  added to an observable collection. Listeners interested in incremental  changes have to be added using more concrete subtypes such as  IObservableList or IObservableSet.  Since:  1.0  Restriction:  This interface is not intended to be implemented by clients.  Clients should instead subclass one of the classes that  implement this interface. Note that direct implementers of this  interface outside of the framework will be broken in future  releases when methods are added to this interface.   Restriction:  This interface is not intended to be extended by clients.    "
8,http://help.eclipse.org/kepler/topic/org.eclipse.platform.doc.isv/reference/api/org/eclipse/core/databinding/observable/Realm.html,extends Object A realm defines a context from which objects implementing IObservable  must be accessed_ and on which these objects will notify their listeners. To  bridge between observables from different realms_ subclasses of  Binding can be used.    A block of code is said to be executing within a realm if calling  isCurrent() from that block returns true. Code reached by calling  methods from that block will execute within the same realm_ with the  exception of methods on this class that can be used to execute code within a  specific realm. Clients can use syncExec(Runnable)_  asyncExec(Runnable)_ or exec(Runnable) to execute a  runnable within this realm. Note that using syncExec(Runnable) can  lead to deadlocks and should be avoided if the current thread holds any  locks.      It is instructive to think about possible implementations of Realm: It can be  based on executing on a designated thread such as a UI thread_ or based on  holding a lock. In the former case_ calling syncExec on a realm that is not  the current realm will execute the given runnable on a different thread (the  designated thread). In the latter case_ calling syncExec may execute the  given runnable on the calling thread_ but calling  asyncExec(Runnable) will execute the given runnable on a different  thread. Therefore_ no assumptions can be made about the thread that will  execute arguments to asyncExec(Runnable)_  syncExec(Runnable)_ or exec(Runnable).      It is possible that a block of code is executing within more than one realm.  This can happen for implementations of Realm that are based on holding a lock  but don't use a separate thread to run runnables given to  syncExec(Runnable). Realm implementations of this kind should be  appropriately documented because it increases the opportunity for deadlock.      Some implementations of IObservable provide constructors which do not  take a Realm argument and are specified to create the observable instance  with the current default realm. The default realm can be set for the  currently executing thread by using runWithDefault(Realm_ Runnable).  Note that the default realm does not have to be the current realm.      Subclasses must override at least one of asyncExec()/syncExec(). For realms  based on a designated thread_ it may be easier to implement asyncExec and  keep the default implementation of syncExec. For realms based on holding a  lock_ it may be easier to implement syncExec and keep the default  implementation of asyncExec.    Since:  1.0  See Also:  IObservable    
9,http://help.eclipse.org/kepler/topic/org.eclipse.platform.doc.isv/reference/api/org/eclipse/core/runtime/MultiStatus.html,"A status object represents the outcome of an operation.  All CoreExceptions carry a status object to indicate   what went wrong. Status objects are also returned by methods needing   to provide details of failures (e.g._ validation methods).    A status carries the following information:    plug-in identifier (required)  severity (required)  status code (required)  message (required) - localized to current locale  exception (optional) - for problems stemming from a failure at  a lower level  Some status objects_ known as multi-statuses_ have other status objects   as children.      The class Status is the standard public implementation  of status objects; the subclass MultiStatus is the  implements multi-status objects.    This interface can be used without OSGi running.    See Also:  MultiStatus_  Status    
extends Status A concrete multi-status implementation_   suitable either for instantiating or subclassing.    This class can be used without OSGi running.      "
10,http://help.eclipse.org/kepler/topic/org.eclipse.platform.doc.isv/reference/api/org/eclipse/core/databinding/observable/DisposeEvent.html,extends ObservableEvent Event denoting that an IObservable object was disposed.  Since:  1.2  See Also:  Serialized Form    
